"KPI, fastställda tal efter månad"

"månad","KPI, fastställda tal"
"1980M01",95.30
"1980M02",96.80
"1980M03",97.20
"1980M04",97.90
"1980M05",98.20
"1980M06",98.50
"1980M07",99.30
"1980M08",99.90
"1980M09",102.70
"1980M10",104.20
"1980M11",104.80
"1980M12",105.20
"1981M01",107.20
"1981M02",109.30
"1981M03",109.80
"1981M04",110.50
"1981M05",111.20
"1981M06",111.60
"1981M07",112.60
"1981M08",113.50
"1981M09",114.30
"1981M10",115.00
"1981M11",115.40
"1981M12",114.90
"1982M01",117.40
"1982M02",119.00
"1982M03",119.30
"1982M04",120.10
"1982M05",120.70
"1982M06",121.10
"1982M07",121.90
"1982M08",122.20
"1982M09",122.90
"1982M10",124.60
"1982M11",125.60
"1982M12",125.90
"1983M01",129.10
"1983M02",128.80
"1983M03",129.30
"1983M04",130.30
"1983M05",131.10
"1983M06",131.80
"1983M07",132.90
"1983M08",133.50
"1983M09",134.50
"1983M10",135.60
"1983M11",136.40
"1983M12",137.50
"1984M01",139.40
"1984M02",138.90
"1984M03",140.90
"1984M04",141.80
"1984M05",142.80
"1984M06",142.40
"1984M07",142.80
"1984M08",143.90
"1984M09",144.80
"1984M10",145.50
"1984M11",146.40
"1984M12",148.80
"1985M01",149.60
"1985M02",151.00
"1985M03",152.10
"1985M04",152.70
"1985M05",154.50
"1985M06",153.90
"1985M07",153.80
"1985M08",153.80
"1985M09",154.50
"1985M10",155.50
"1985M11",156.50
"1985M12",157.10
"1986M01",158.90
"1986M02",159.00
"1986M03",158.70
"1986M04",159.70
"1986M05",159.70
"1986M06",159.70
"1986M07",160.10
"1986M08",159.90
"1986M09",161.30
"1986M10",161.90
"1986M11",161.90
"1986M12",162.30
"1987M01",164.40
"1987M02",164.40
"1987M03",164.70
"1987M04",165.10
"1987M05",165.20
"1987M06",164.90
"1987M07",166.90
"1987M08",167.80
"1987M09",169.40
"1987M10",170.10
"1987M11",170.70
"1987M12",170.70
"1988M01",171.60
"1988M02",172.90
"1988M03",173.70
"1988M04",175.20
"1988M05",175.80
"1988M06",176.30
"1988M07",177.10
"1988M08",177.50
"1988M09",178.80
"1988M10",180.20
"1988M11",180.50
"1988M12",180.90
"1989M01",183.00
"1989M02",184.00
"1989M03",184.70
"1989M04",186.50
"1989M05",187.30
"1989M06",187.90
"1989M07",187.90
"1989M08",188.70
"1989M09",190.20
"1989M10",191.80
"1989M11",192.20
"1989M12",192.80
"1990M01",199.00
"1990M02",199.90
"1990M03",205.40
"1990M04",205.20
"1990M05",206.40
"1990M06",206.20
"1990M07",208.20
"1990M08",209.60
"1990M09",212.00
"1990M10",213.40
"1990M11",214.10
"1990M12",213.90
"1991M01",218.90
"1991M02",225.00
"1991M03",225.80
"1991M04",227.10
"1991M05",227.30
"1991M06",227.00
"1991M07",227.10
"1991M08",226.70
"1991M09",229.20
"1991M10",230.10
"1991M11",231.10
"1991M12",230.80
"1992M01",230.20
"1992M02",230.30
"1992M03",231.30
"1992M04",231.90
"1992M05",232.00
"1992M06",231.50
"1992M07",231.20
"1992M08",231.30
"1992M09",234.60
"1992M10",235.10
"1992M11",234.00
"1992M12",234.90
"1993M01",241.00
"1993M02",241.60
"1993M03",242.70
"1993M04",243.70
"1993M05",243.10
"1993M06",242.30
"1993M07",241.90
"1993M08",242.30
"1993M09",244.50
"1993M10",245.20
"1993M11",245.30
"1993M12",244.30
"1994M01",245.10
"1994M02",245.90
"1994M03",246.80
"1994M04",247.80
"1994M05",248.30
"1994M06",248.40
"1994M07",248.40
"1994M08",248.50
"1994M09",250.70
"1994M10",251.00
"1994M11",250.80
"1994M12",250.40
"1995M01",251.30
"1995M02",252.30
"1995M03",253.30
"1995M04",255.00
"1995M05",255.30
"1995M06",255.10
"1995M07",254.80
"1995M08",254.50
"1995M09",256.20
"1995M10",256.90
"1995M11",256.80
"1995M12",256.00
"1996M01",255.60
"1996M02",255.80
"1996M03",257.00
"1996M04",257.60
"1996M05",257.30
"1996M06",256.30
"1996M07",255.70
"1996M08",254.50
"1996M09",256.00
"1996M10",255.90
"1996M11",255.30
"1996M12",254.90
"1997M01",254.60
"1997M02",254.20
"1997M03",255.20
"1997M04",257.00
"1997M05",257.00
"1997M06",257.40
"1997M07",257.30
"1997M08",257.40
"1997M09",259.80
"1997M10",259.60
"1997M11",259.20
"1997M12",259.10
"1998M01",256.90
"1998M02",256.60
"1998M03",257.00
"1998M04",257.70
"1998M05",258.10
"1998M06",257.60
"1998M07",257.00
"1998M08",255.70
"1998M09",256.80
"1998M10",257.30
"1998M11",256.70
"1998M12",256.20
"1999M01",256.20
"1999M02",256.30
